,Recruiting Agency,,,Individual-New,,,G2G EPS Korea,,,Individual-ReEntry,,,Total with ReEntry,,,,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
ALBANIA,0,1,1,1,2,3,0,0,0,0,0,0,1,3,4,,,
Australia,0,0,0,40,0,40,0,0,0,3,0,3,43,0,43,,,
Austria,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,,,
AZERBAIJAN,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,,
Bahrain,236,34,270,16,6,22,0,0,0,226,34,260,478,74,552,,,
BELARUS,0,0,0,4,2,6,0,0,0,0,0,0,4,2,6,,,
Belgium,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,,,
Brazil,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,,,
Brunei Darussalam,15,9,24,40,0,40,0,0,0,53,0,53,108,9,117,,,
Cambodia,0,0,0,2,0,2,0,0,0,3,0,3,5,0,5,,,
Cameroon,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Canada,0,0,0,52,17,69,0,0,0,0,0,0,52,17,69,,,
Cayman,0,0,0,78,1,79,0,0,0,6,4,10,84,5,89,,,
Central African Republic,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,,
China,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Combodia,0,0,0,6,0,6,0,0,0,1,1,2,7,1,8,,,
Comoros,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Cote DIvoire,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Croatia,143,2,145,302,78,380,0,0,0,12,0,12,457,80,537,,,
Cyprus,42,260,302,0,0,0,0,0,0,5,61,66,47,321,368,,,
Czech Republic,0,0,0,2,1,3,0,0,0,2,1,3,4,2,6,,,
DENMARK,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Egypt,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,,,
Finland,0,0,0,10,1,11,0,0,0,0,0,0,10,1,11,,,
France,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,,,
GABON,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,,,
Germany,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,,,
Greece,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,,
"Hong Kong SAR,China",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,,,
Hungary,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,,,
ICELAND,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,
Ireland,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,,,
Israel,1,21,22,1,2,3,0,0,0,10,22,32,12,45,57,,,
Italy,0,0,0,4,1,5,0,0,0,0,0,0,4,1,5,,,
Japan,38,37,75,86,34,120,0,0,0,304,12,316,428,83,511,,,
Jordan,9,66,75,0,1,1,0,0,0,11,12,23,20,79,99,,,
Kenya,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,,,
Kuwait,1619,667,2286,73,63,136,0,0,0,851,224,1075,2543,954,3497,,,
