,Recruiting Agency,,,Individual-New,,,Individual-Legalization,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,8,0,8,2,0,2,2,0,2,12,0,12,10,0,10
Austria,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
AZERBAIJAN,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Bahrain,417,33,450,18,6,24,28,2,30,337,42,379,800,83,883,463,41,504
Belgium,0,0,0,13,0,13,0,0,0,1,0,1,14,0,14,13,0,13
Bermuda,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
BOSNIA AND HERZEGOVINA,0,0,0,23,0,23,0,0,0,0,0,0,23,0,23,23,0,23
British Virgin Islands,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Brunei Darussalam,0,0,0,9,5,14,0,0,0,121,0,121,130,5,135,9,5,14
Cambodia,0,0,0,0,0,0,5,0,5,2,0,2,7,0,7,5,0,5
Cameroon,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Canada,0,0,0,3,6,9,0,0,0,0,0,0,3,6,9,3,6,9
Cayman,0,0,0,26,7,33,1,0,1,1,0,1,28,7,35,27,7,34
COLOMBIA,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2
Combodia,0,0,0,0,0,0,2,0,2,3,0,3,5,0,5,2,0,2
Croatia,183,101,284,54,24,78,0,0,0,19,1,20,256,126,382,237,125,362
Cyprus,34,201,235,0,0,0,4,0,4,6,84,90,44,285,329,38,201,239
Czech Republic,0,0,0,1,0,1,2,0,2,10,3,13,13,3,16,3,0,3
DENMARK,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Dominican Republic,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
ESTONIA,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
ETHIOPIA,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Finland,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
France,0,0,0,20,2,22,1,0,1,0,0,0,21,2,23,21,2,23
Germany,0,0,0,2,1,3,0,0,0,0,0,0,2,1,3,2,1,3
Ghana,0,0,0,0,0,0,2,0,2,1,0,1,3,0,3,2,0,2
Greece,0,0,0,13,2,15,0,0,0,0,0,0,13,2,15,13,2,15
ICELAND,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Indonesia,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Ireland,0,0,0,9,0,9,0,0,0,1,1,2,10,1,11,9,0,9
Israel,0,0,0,0,0,0,3,2,5,8,31,39,11,33,44,3,2,5
Italy,0,0,0,3,0,3,4,0,4,0,0,0,7,0,7,7,0,7
Jamaica,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
Japan,86,49,135,563,127,690,8,1,9,362,10,372,1019,187,1206,657,177,834
Jordan,30,203,233,2,0,2,0,0,0,2,21,23,34,224,258,32,203,235
Kenya,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,1,0,1
Kuwait,2227,401,2628,43,18,61,4,3,7,1312,130,1442,3586,552,4138,2274,422,2696
Lao PDR,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,4,5,9,4,5,9,0,0,0
Malaysia,2314,224,2538,2,0,2,25,1,26,1409,27,1436,3750,252,4002,2341,225,2566
Maldives,0,0,0,152,56,208,0,0,0,67,20,87,219,76,295,152,56,208
MALI,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
MALTA,0,0,0,57,35,92,3,0,3,43,18,61,103,53,156,60,35,95
Mauritius,97,0,97,0,0,0,0,0,0,1,0,1,98,0,98,97,0,97
Morocco,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
Mozambique,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
Netherland,0,0,0,21,3,24,0,0,0,0,0,0,21,3,24,21,3,24
New Zealand,0,0,0,0,0,0,4,1,5,3,0,3,7,1,8,4,1,5
Nigeria,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,1,0,1
Norway,0,0,0,28,0,28,0,0,0,0,0,0,28,0,28,28,0,28
Oman,111,14,125,52,16,68,25,0,25,214,29,243,402,59,461,188,30,218
PAPUA NEW GUINEA,0,0,0,2,0,2,0,0,0,5,0,5,7,0,7,2,0,2
Phillippines,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Poland,0,0,0,10,1,11,0,0,0,15,3,18,25,4,29,10,1,11
Qatar,3071,294,3365,324,26,350,100,1,101,7348,253,7601,10843,574,11417,3495,321,3816
Republic of Bulgaria,0,0,0,37,0,37,0,0,0,0,0,0,37,0,37,37,0,37
Republic of Congo,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Republic of Korea,0,0,0,2,0,2,24,0,24,12,0,12,38,0,38,26,0,26
Republic of Macedonia,0,0,0,2,3,5,0,0,0,0,0,0,2,3,5,2,3,5
Romania,376,52,428,6,2,8,0,0,0,83,0,83,465,54,519,382,54,436
Russia,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Saint Lucia,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
Samoa,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Saudi Arabia,4312,22,4334,0,0,0,12,0,12,5847,65,5912,10171,87,10258,4324,22,4346
Seychelles,0,0,0,52,4,56,5,0,5,26,1,27,83,5,88,57,4,61
Singapore,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Spain,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,2,0,2
Sri Lanka,0,0,0,3,0,3,0,0,0,1,0,1,4,0,4,3,0,3
Tanzania,0,0,0,0,0,0,1,0,1,2,0,2,3,0,3,1,0,1
Thailand,0,0,0,0,1,1,1,0,1,2,0,2,3,1,4,1,1,2
Turkey,0,0,0,64,11,75,1,0,1,4,6,10,69,17,86,65,11,76
Turks and Caicos Island,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
UAE,1871,755,2626,72,109,181,653,129,782,4855,777,5632,7451,1770,9221,2596,993,3589
Uganda,0,0,0,0,0,0,0,1,1,4,0,4,4,1,5,0,1,1
United Kingdom,0,0,0,480,79,559,3,4,7,0,0,0,483,83,566,483,83,566
USA,0,0,0,2,0,2,14,3,17,4,0,4,20,3,23,16,3,19
Uzbekistan,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
Vietnam,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
ZAMBIA,0,0,0,1,0,1,1,0,1,3,0,3,5,0,5,2,0,2
Total,15129,2349,17478,2202,544,2746,945,148,1093,22159,1528,23687,40435,4569,45004,18276,3041,21317
