,Recruiting Agency,,,Individual-New,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,,,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
ALBANIA,2,2,4,6,1,7,0,0,0,8,3,11,8,3,11,,,
Australia,0,0,0,21,3,24,4,0,4,25,3,28,21,3,24,,,
Austria,0,0,0,2,1,3,0,0,0,2,1,3,2,1,3,,,
AZERBAIJAN,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Bahrain,351,84,435,27,7,34,202,26,228,580,117,697,378,91,469,,,
BELARUS,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,,,
Belgium,0,0,0,5,2,7,0,0,0,5,2,7,5,2,7,,,
Bermuda,0,0,0,2,1,3,0,0,0,2,1,3,2,1,3,,,
BOSNIA AND HERZEGOVINA,0,0,0,15,0,15,0,0,0,15,0,15,15,0,15,,,
British Virgin Islands,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Brunei Darussalam,26,3,29,95,6,101,20,0,20,141,9,150,121,9,130,,,
Cambodia,0,0,0,2,0,2,2,1,3,4,1,5,2,0,2,,,
Canada,0,0,0,48,8,56,0,1,1,48,9,57,48,8,56,,,
Cayman,0,0,0,52,8,60,8,4,12,60,12,72,52,8,60,,,
China,0,0,0,6,0,6,1,0,1,7,0,7,6,0,6,,,
Combodia,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
Comoros,0,0,0,2,0,2,1,0,1,3,0,3,2,0,2,,,
Cook Islands,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
Croatia,165,17,182,349,69,418,4,0,4,518,86,604,514,86,600,,,
Cyprus,65,294,359,0,0,0,3,75,78,68,369,437,65,294,359,,,
Czech Republic,0,0,0,10,3,13,5,1,6,15,4,19,10,3,13,,,
DENMARK,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Egypt,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
FIJI,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4,,,
Finland,0,0,0,8,0,8,0,0,0,8,0,8,8,0,8,,,
France,0,0,0,1,1,2,0,0,0,1,1,2,1,1,2,,,
GABON,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Germany,0,0,0,3,5,8,0,0,0,3,5,8,3,5,8,,,
Greece,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
"Hong Kong SAR,China",15,1,16,0,0,0,0,0,0,15,1,16,15,1,16,,,
Hungary,0,0,0,2,0,2,1,0,1,3,0,3,2,0,2,,,
Indonesia,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Ireland,0,0,0,13,0,13,0,0,0,13,0,13,13,0,13,,,
Israel,28,83,111,0,0,0,1,10,11,29,93,122,28,83,111,,,
Italy,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Japan,71,11,82,219,97,316,231,8,239,521,116,637,290,108,398,,,
Jordan,6,154,160,0,0,0,5,17,22,11,171,182,6,154,160,,,
Kenya,0,0,0,2,0,2,3,0,3,5,0,5,2,0,2,,,
Kosovo,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,,,
Kuwait,2603,1246,3849,67,131,198,770,212,982,3440,1589,5029,2670,1377,4047,,,
Lao PDR,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Latvia,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Lebanon,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,,,
LITHUANIA,0,0,0,2,0,2,1,0,1,3,0,3,2,0,2,,,
LUXEMBOURG,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Malaysia,31920,1083,33003,16,1,17,2291,61,2352,34227,1145,35372,31936,1084,33020,,,
Maldives,0,0,0,249,100,349,42,12,54,291,112,403,249,100,349,,,
MALI,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
MALTA,43,4,47,994,343,1337,25,12,37,1062,359,1421,1037,347,1384,,,
Maroc,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,,,
Mauritius,4,0,4,0,0,0,1,0,1,5,0,5,4,0,4,,,
Mexico,0,0,0,14,0,14,0,0,0,14,0,14,14,0,14,,,
Mongolia,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Morocco,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Netherland,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,,,
New Zealand,0,0,0,15,9,24,2,1,3,17,10,27,15,9,24,,,
Nigeria,0,0,0,1,1,2,0,0,0,1,1,2,1,1,2,,,
Norway,0,0,0,7,0,7,0,0,0,7,0,7,7,0,7,,,
Oman,166,67,233,62,41,103,165,31,196,393,139,532,228,108,336,,,
