,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,2,9,11,7,36,43,0,0,0,0,0,0,9,45,54,9,45,54
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Australia,0,0,0,19,5,24,0,0,0,0,0,0,19,5,24,19,5,24
Austria,0,0,0,10,1,11,0,0,0,0,0,0,10,1,11,10,1,11
Bahrain,218,81,299,17,9,26,0,0,0,302,47,349,537,137,674,235,90,325
BELARUS,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
Belgium,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,1,1,2
BOSNIA AND HERZEGOVINA,0,0,0,3,2,5,0,0,0,0,0,0,3,2,5,3,2,5
Brazil,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Brunei Darussalam,19,2,21,39,4,43,0,0,0,34,0,34,92,6,98,58,6,64
Burkina Faso,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Cambodia,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4
Canada,0,0,0,46,8,54,0,0,0,0,0,0,46,8,54,46,8,54
Cayman,0,0,0,27,2,29,0,0,0,7,2,9,34,4,38,27,2,29
CHILE,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
China,0,0,0,2,0,2,0,0,0,11,1,12,13,1,14,2,0,2
COLOMBIA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Combodia,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Comoros,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
Croatia,117,5,122,272,116,388,0,0,0,29,1,30,418,122,540,389,121,510
Cyprus,90,271,361,1,0,1,0,0,0,5,77,82,96,348,444,91,271,362
Czech Republic,0,0,0,1,0,1,0,0,0,9,1,10,10,1,11,1,0,1
Egypt,0,0,0,3,1,4,0,0,0,1,1,2,4,2,6,3,1,4
Equatorial Guinea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
