,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,0,3,3,12,14,26,0,0,0,0,0,0,12,17,29,12,17,29
Angola,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Antigua & Barbuda,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Australia,0,0,0,33,3,36,0,0,0,3,0,3,36,3,39,33,3,36
Austria,0,0,0,6,4,10,0,0,0,0,0,0,6,4,10,6,4,10
Bahrain,207,51,258,32,4,36,0,0,0,273,28,301,512,83,595,239,55,294
BARBADOS,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Belgium,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
Bermuda,0,0,0,1,1,2,0,0,0,1,0,1,2,1,3,1,1,2
BOSNIA AND HERZEGOVINA,0,0,0,22,0,22,0,0,0,0,0,0,22,0,22,22,0,22
Brunei Darussalam,28,0,28,15,7,22,0,0,0,23,0,23,66,7,73,43,7,50
Cambodia,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
Canada,0,0,0,38,11,49,0,0,0,0,1,1,38,12,50,38,11,49
Cayman,0,0,0,8,1,9,0,0,0,6,0,6,14,1,15,8,1,9
China,0,0,0,4,1,5,0,0,0,4,0,4,8,1,9,4,1,5
COLOMBIA,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4
Combodia,0,0,0,3,1,4,0,0,0,2,0,2,5,1,6,3,1,4
Cote DIvoire,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Croatia,57,2,59,401,64,465,0,0,0,33,0,33,491,66,557,458,66,524
Cyprus,54,272,326,2,0,2,0,0,0,11,116,127,67,388,455,56,272,328
Czech Republic,0,0,0,1,0,1,0,0,0,4,1,5,5,1,6,1,0,1
DENMARK,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Dominican Republic,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Egypt,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
Eritrea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
ETHIOPIA,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Finland,0,0,0,3,2,5,0,0,0,1,0,1,4,2,6,3,2,5
France,0,0,0,37,1,38,0,0,0,0,0,0,37,1,38,37,1,38
GABON,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Germany,0,0,0,3,0,3,0,0,0,0,2,2,3,2,5,3,0,3
Ghana,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Greece,0,0,0,17,0,17,0,0,0,0,0,0,17,0,17,17,0,17
"Hong Kong SAR,China",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
Hungary,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
Ireland,0,0,0,5,1,6,0,0,0,0,0,0,5,1,6,5,1,6
Israel,0,0,0,2,2,4,0,0,0,11,28,39,13,30,43,2,2,4
Italy,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Japan,60,18,78,339,110,449,0,0,0,328,16,344,727,144,871,399,128,527
Jordan,9,36,45,0,0,0,0,0,0,4,20,24,13,56,69,9,36,45
Kenya,0,0,0,0,1,1,0,0,0,5,0,5,5,1,6,0,1,1
