,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,ALBANIA,0,3,3,12,14,26,0,0,0,0,0,0,12,17,29,12,17,29
2,Angola,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
3,Antigua & Barbuda,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
4,Australia,0,0,0,33,3,36,0,0,0,3,0,3,36,3,39,33,3,36
5,Austria,0,0,0,6,4,10,0,0,0,0,0,0,6,4,10,6,4,10
6,Bahrain,207,51,258,32,4,36,0,0,0,273,28,301,512,83,595,239,55,294
7,BARBADOS,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
8,Belgium,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
9,Bermuda,0,0,0,1,1,2,0,0,0,1,0,1,2,1,3,1,1,2
10,BOSNIA AND HERZEGOVINA,0,0,0,22,0,22,0,0,0,0,0,0,22,0,22,22,0,22
11,Brunei Darussalam,28,0,28,15,7,22,0,0,0,23,0,23,66,7,73,43,7,50
12,Cambodia,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
13,Canada,0,0,0,38,11,49,0,0,0,0,1,1,38,12,50,38,11,49
14,Cayman,0,0,0,8,1,9,0,0,0,6,0,6,14,1,15,8,1,9
15,China,0,0,0,4,1,5,0,0,0,4,0,4,8,1,9,4,1,5
16,COLOMBIA,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4
17,Combodia,0,0,0,3,1,4,0,0,0,2,0,2,5,1,6,3,1,4
18,Cote DIvoire,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
19,Croatia,57,2,59,401,64,465,0,0,0,33,0,33,491,66,557,458,66,524
20,Cyprus,54,272,326,2,0,2,0,0,0,11,116,127,67,388,455,56,272,328
21,Czech Republic,0,0,0,1,0,1,0,0,0,4,1,5,5,1,6,1,0,1
22,DENMARK,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
23,Dominican Republic,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
24,Egypt,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
25,Eritrea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
26,ETHIOPIA,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
27,Finland,0,0,0,3,2,5,0,0,0,1,0,1,4,2,6,3,2,5
28,France,0,0,0,37,1,38,0,0,0,0,0,0,37,1,38,37,1,38
29,GABON,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
30,Germany,0,0,0,3,0,3,0,0,0,0,2,2,3,2,5,3,0,3
31,Ghana,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
32,Greece,0,0,0,17,0,17,0,0,0,0,0,0,17,0,17,17,0,17
33,"Hong Kong SAR,China",3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
34,Hungary,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
35,Ireland,0,0,0,5,1,6,0,0,0,0,0,0,5,1,6,5,1,6
36,Israel,0,0,0,2,2,4,0,0,0,11,28,39,13,30,43,2,2,4
37,Italy,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
38,Japan,60,18,78,339,110,449,0,0,0,328,16,344,727,144,871,399,128,527
39,Jordan,9,36,45,0,0,0,0,0,0,4,20,24,13,56,69,9,36,45
40,Kenya,0,0,0,0,1,1,0,0,0,5,0,5,5,1,6,0,1,1
41,Kuwait,1018,321,1339,72,175,247,0,0,0,693,183,876,1783,679,2462,1090,496,1586
42,Lao PDR,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
43,Lebanon,0,0,0,2,1,3,0,0,0,1,4,5,3,5,8,2,1,3
44,LITHUANIA,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
45,"Macau SAR,China",25,0,25,19,1,20,0,0,0,215,1,216,259,2,261,44,1,45
46,Madagascar,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
47,Malaysia,15727,280,16007,47,7,54,0,0,0,3681,82,3763,19455,369,19824,15774,287,16061
48,Maldives,1,0,1,210,118,328,0,0,0,47,23,70,258,141,399,211,118,329
49,MALTA,0,0,0,140,24,164,0,0,0,70,48,118,210,72,282,140,24,164
50,Maroc,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
51,Mauritania,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
52,Mauritius,31,0,31,1,0,1,0,0,0,0,0,0,32,0,32,32,0,32
53,Mexico,0,0,0,12,0,12,0,0,0,0,0,0,12,0,12,12,0,12
54,Morocco,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
55,Netherland,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
56,New Zealand,0,0,0,68,7,75,0,0,0,2,0,2,70,7,77,68,7,75
57,Nigeria,0,0,0,3,1,4,0,0,0,2,0,2,5,1,6,3,1,4
58,Norway,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
59,Oman,103,57,160,43,58,101,0,0,0,168,36,204,314,151,465,146,115,261
60,Palau,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
61,PAPUA NEW GUINEA,0,0,0,8,2,10,0,0,0,4,0,4,12,2,14,8,2,10
62,Poland,0,0,0,528,53,581,0,0,0,16,3,19,544,56,600,528,53,581
63,Portugal,0,0,0,66,9,75,0,0,0,0,0,0,66,9,75,66,9,75
64,Qatar,1714,201,1915,495,26,521,0,0,0,8587,280,8867,10796,507,11303,2209,227,2436
65,Republic of Bulgaria,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
66,Republic of Congo,0,0,0,4,0,4,0,0,0,4,0,4,8,0,8,4,0,4
67,Republic of Korea,0,0,0,39,0,39,2083,87,2170,18,0,18,2140,87,2227,2122,87,2209
68,Republic of Lithuania,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
69,REPUBLIC OF SEYCHELLES,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
70,Romania,586,65,651,247,47,294,0,0,0,112,13,125,945,125,1070,833,112,945
71,Russia,0,0,0,15,1,16,0,0,0,7,0,7,22,1,23,15,1,16
72,Rwanda,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
73,Saudi Arabia,4795,2,4797,9,0,9,0,0,0,4628,69,4697,9432,71,9503,4804,2,4806
74,Serbia,0,0,0,47,32,79,0,0,0,0,0,0,47,32,79,47,32,79
75,Seychelles,0,0,0,17,2,19,0,0,0,14,2,16,31,4,35,17,2,19
76,Singapore,0,0,0,39,1,40,0,0,0,0,0,0,39,1,40,39,1,40
77,Slovenia,0,0,0,14,0,14,0,0,0,0,0,0,14,0,14,14,0,14
78,SOMALIA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
79,South Sudan,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
80,Spain,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
81,Sri Lanka,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
