,Recruiting Agency,,,Individual-New,,,Individual-Legalization,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,17,26,43,0,1,1,0,0,0,0,0,0,17,27,44,17,27,44
Australia,0,0,0,18,0,18,0,0,0,5,0,5,23,0,23,18,0,18
Austria,0,0,0,72,19,91,0,0,0,0,0,0,72,19,91,72,19,91
BAHAMAS,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,1,0,1
Bahrain,451,73,524,35,16,51,3,0,3,385,29,414,874,118,992,489,89,578
Belgium,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Bermuda,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
BOSNIA AND HERZEGOVINA,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13,13,0,13
Brunei Darussalam,101,15,116,20,2,22,0,0,0,93,0,93,214,17,231,121,17,138
Cambodia,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0
Canada,0,0,0,4,1,5,0,0,0,0,0,0,4,1,5,4,1,5
Cayman,0,0,0,17,7,24,0,0,0,4,1,5,21,8,29,17,7,24
COLOMBIA,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
Combodia,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,0,0,0
Comoros,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
Croatia,363,153,516,7,0,7,0,0,0,12,0,12,382,153,535,370,153,523
Cyprus,59,276,335,1,0,1,0,0,0,5,91,96,65,367,432,60,276,336
Czech Republic,0,0,0,3,0,3,0,0,0,9,1,10,12,1,13,3,0,3
DENMARK,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Djibouti,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Egypt,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2
ESTONIA,0,0,0,1,0,1,0,0,0,3,0,3,4,0,4,1,0,1
Finland,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
France,0,0,0,11,2,13,0,0,0,0,0,0,11,2,13,11,2,13
Germany,0,0,0,2,1,3,2,0,2,2,0,2,6,1,7,4,1,5
Ghana,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
Hungary,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Ireland,0,0,0,7,1,8,0,0,0,0,0,0,7,1,8,7,1,8
Israel,0,0,0,0,1,1,0,0,0,6,29,35,6,30,36,0,1,1
Italy,0,0,0,2,1,3,1,1,2,0,0,0,3,2,5,3,2,5
Jamaica,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
Japan,121,47,168,391,77,468,2,0,2,432,4,436,946,128,1074,514,124,638
Jordan,68,31,99,0,0,0,0,0,0,16,20,36,84,51,135,68,31,99
Kenya,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0
Kuwait,3474,617,4091,90,35,125,4,0,4,1323,192,1515,4891,844,5735,3568,652,4220
Lao PDR,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
LITHUANIA,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,2,0,2
Madagascar,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Malaysia,6802,339,7141,6,1,7,2,1,3,2428,70,2498,9238,411,9649,6810,341,7151
Maldives,9,3,12,148,52,200,1,1,2,59,11,70,217,67,284,158,56,214
MALTA,0,0,0,74,33,107,0,0,0,45,12,57,119,45,164,74,33,107
Mauritius,6,0,6,7,0,7,0,0,0,2,0,2,15,0,15,13,0,13
Mexico,0,0,0,2,1,3,0,0,0,0,0,0,2,1,3,2,1,3
Morocco,0,0,0,1,0,1,0,0,0,0,1,1,1,1,2,1,0,1
Mozambique,0,0,0,1,6,7,0,0,0,0,0,0,1,6,7,1,6,7
Netherland,0,0,0,4,0,4,0,0,0,1,0,1,5,0,5,4,0,4
New Zealand,0,0,0,7,2,9,1,0,1,11,1,12,19,3,22,8,2,10
Nigeria,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
Norway,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,7,0,7
Oman,159,27,186,97,18,115,3,0,3,229,16,245,488,61,549,259,45,304
PAPUA NEW GUINEA,0,0,0,8,1,9,0,0,0,5,0,5,13,1,14,8,1,9
Phillippines,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
Poland,0,0,0,1,1,2,0,0,0,16,1,17,17,2,19,1,1,2
Portugal,0,0,0,44,11,55,0,0,0,0,0,0,44,11,55,44,11,55
Qatar,4280,493,4773,595,33,628,30,0,30,9340,285,9625,14245,811,15056,4905,526,5431
Republic of Bulgaria,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4
Republic of Congo,0,0,0,1,0,1,1,0,1,1,0,1,3,0,3,2,0,2
Republic of Korea,0,0,0,19,0,19,2,0,2,14,0,14,35,0,35,21,0,21
Republic of Kosovo,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
Republic of Macedonia,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4
REPUBLIC OF SEYCHELLES,59,0,59,1,0,1,0,0,0,0,0,0,60,0,60,60,0,60
