,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,4,3,7,4,0,4,0,0,0,0,0,0,8,3,11
Algeria,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,51,6,57,0,0,0,5,0,5,56,6,62
Austria,0,0,0,6,1,7,0,0,0,1,0,1,7,1,8
AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,282,59,341,42,16,58,0,0,0,415,62,477,739,137,876
BARBADOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Benin,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Bermuda,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3
BOSNIA AND HERZEGOVINA,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Brazil,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
British Virgin Islands,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Brunei Darussalam,65,9,74,37,7,44,0,0,0,61,1,62,163,17,180
Cambodia,0,0,0,4,1,5,0,0,0,1,1,2,5,2,7
Canada,0,0,0,49,10,59,0,0,0,3,0,3,52,10,62
Cayman,0,0,0,23,12,35,0,0,0,15,4,19,38,16,54
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,3,1,4,0,0,0,4,0,4,7,1,8
COLOMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combodia,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,55,6,61,227,78,305,0,0,0,30,0,30,312,84,396
Cyprus,36,238,274,1,0,1,0,0,0,16,94,110,53,332,385
Czech Republic,0,0,0,2,0,2,0,0,0,11,5,16,13,5,18
DENMARK,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Djibouti,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Equatorial Guinea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Eritrea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
