,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,11,1,12,68,13,81,0,0,0,0,0,0,79,14,93,79,14,93
Angola,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
Australia,0,0,0,42,3,45,0,0,0,2,0,2,44,3,47,42,3,45
Austria,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Bahrain,303,91,394,23,3,26,0,0,0,315,36,351,641,130,771,326,94,420
Bangladesh,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
BARBADOS,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Bermuda,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2,1,0,1
BOSNIA AND HERZEGOVINA,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,5,0,5
Brazil,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Brunei Darussalam,11,7,18,72,2,74,0,0,0,51,1,52,134,10,144,83,9,92
Burkina Faso,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Cambodia,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Canada,0,0,0,21,7,28,0,0,0,0,0,0,21,7,28,21,7,28
Cayman,0,0,0,25,6,31,0,0,0,7,3,10,32,9,41,25,6,31
CHILE,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,5,0,5
China,0,0,0,8,0,8,0,0,0,6,0,6,14,0,14,8,0,8
COLOMBIA,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
Combodia,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
Comoros,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
Croatia,127,5,132,274,27,301,0,0,0,38,0,38,439,32,471,401,32,433
Cyprus,19,249,268,2,0,2,0,0,0,33,114,147,54,363,417,21,249,270
Czech Republic,0,0,0,0,2,2,0,0,0,5,1,6,5,3,8,0,2,2
DENMARK,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
Dominican Republic,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,10,0,10
Egypt,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
