,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
ALBANIA,6,2,8,14,2,16,0,0,0,0,0,0,20,4,24
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3
Australia,0,0,0,65,1,66,0,0,0,1,0,1,66,1,67
Austria,0,0,0,54,20,74,0,0,0,0,0,0,54,20,74
AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Bahrain,123,22,145,21,8,29,0,0,0,397,50,447,541,80,621
BARBADOS,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
BELARUS,0,0,0,0,9,9,0,0,0,0,0,0,0,9,9
Belgium,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
BOSNIA AND HERZEGOVINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,2,2,28,14,42,0,0,0,68,3,71,96,19,115
Cambodia,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3
Canada,0,0,0,35,8,43,0,0,0,1,0,1,36,8,44
Cayman,0,0,0,20,5,25,0,0,0,1,2,3,21,7,28
Central African Republic,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
CHILE,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
China,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
COLOMBIA,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
Combodia,0,0,0,2,0,2,0,0,0,1,1,2,3,1,4
Comoros,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Croatia,107,13,120,336,89,425,0,0,0,15,1,16,458,103,561
Cyprus,33,202,235,0,0,0,0,0,0,8,83,91,41,285,326
Czech Republic,0,0,0,10,3,13,0,0,0,8,3,11,18,6,24
DENMARK,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Egypt,0,0,0,0,1,1,0,0,0,1,0,1,1,1,2
Equatorial Guinea,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Finland,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
France,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Georgia,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Germany,0,0,0,3,0,3,0,0,0,0,1,1,3,1,4
Ghana,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong SAR,China",11,0,11,0,0,0,0,0,0,0,0,0,11,0,11
Hungary,0,0,0,17,2,19,0,0,0,0,0,0,17,2,19
Ireland,0,0,0,9,1,10,0,0,0,0,0,0,9,1,10
Israel,0,0,0,0,1,1,0,0,0,7,27,34,7,28,35
Italy,0,0,0,9,1,10,0,0,0,0,0,0,9,1,10
Jamaica,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Japan,69,31,100,334,121,455,0,0,0,445,5,450,848,157,1005
Jordan,0,29,29,0,0,0,0,0,0,9,50,59,9,79,88
Kazakhastan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Kuwait,2206,610,2816,71,80,151,0,0,0,1260,313,1573,3537,1003,4540
Lao PDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Lebanon,0,0,0,0,0,0,0,0,0,3,7,10,3,7,10
LITHUANIA,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
LUXEMBOURG,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"Macau SAR,China",0,0,0,1,0,1,0,0,0,10,0,10,11,0,11
Madagascar,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
MALAWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,19855,533,20388,25,2,27,0,0,0,4749,106,4855,24629,641,25270
Maldives,42,4,46,159,106,265,0,0,0,65,27,92,266,137,403
MALI,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3
MALTA,1,0,1,296,150,446,0,0,0,49,20,69,346,170,516
Maroc,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Mauritius,91,0,91,6,2,8,0,0,0,3,0,3,100,2,102
Mexico,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
Morocco,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
Mozambique,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4
Netherland,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
New Zealand,0,0,0,40,9,49,0,0,0,3,0,3,43,9,52
Nigeria,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Norway,0,0,0,3,1,4,0,0,0,0,0,0,3,1,4
Oman,88,25,113,56,32,88,0,0,0,310,57,367,454,114,568
Palau,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
PAPUA NEW GUINEA,0,0,0,11,3,14,0,0,0,10,0,10,21,3,24
PERU,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Phillippines,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
Poland,0,0,0,214,55,269,0,0,0,36,7,43,250,62,312
Portugal,0,0,0,14,4,18,0,0,0,0,0,0,14,4,18
Qatar,2024,270,2294,341,30,371,0,0,0,6720,108,6828,9085,408,9493
