,Recruiting Agency,,,Individual-New,,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,,,,
Country,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,
ALBANIA,0,3,3,1,3,4,0,0,0,1,6,7,1,6,7,,,
Angola,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Australia,0,0,0,23,1,24,2,0,2,25,1,26,23,1,24,,,
Austria,0,0,0,4,1,5,0,0,0,4,1,5,4,1,5,,,
Bahrain,391,58,449,20,5,25,208,21,229,619,84,703,411,63,474,,,
Belgium,0,0,0,13,2,15,0,0,0,13,2,15,13,2,15,,,
Benin,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
BOSNIA AND HERZEGOVINA,0,0,0,23,1,24,0,0,0,23,1,24,23,1,24,,,
Brazil,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,,,
British Virgin Islands,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Brunei Darussalam,39,1,40,41,4,45,42,0,42,122,5,127,80,5,85,,,
Cambodia,0,0,0,3,0,3,1,2,3,4,2,6,3,0,3,,,
Canada,0,0,0,37,9,46,0,0,0,37,9,46,37,9,46,,,
Cayman,0,0,0,39,13,52,2,1,3,41,14,55,39,13,52,,,
China,0,0,0,6,0,6,2,0,2,8,0,8,6,0,6,,,
Combodia,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Comoros,0,0,0,6,0,6,0,0,0,6,0,6,6,0,6,,,
Croatia,354,54,408,567,203,770,9,1,10,930,258,1188,921,257,1178,,,
Cyprus,101,293,394,0,0,0,4,60,64,105,353,458,101,293,394,,,
Czech Republic,0,0,0,4,1,5,7,1,8,11,2,13,4,1,5,,,
Djibouti,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Dominican Republic,0,0,0,7,0,7,0,0,0,7,0,7,7,0,7,,,
Egypt,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
ETHIOPIA,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
FIJI,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Finland,0,0,0,7,0,7,0,0,0,7,0,7,7,0,7,,,
France,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4,,,
Germany,0,0,0,4,0,4,1,0,1,5,0,5,4,0,4,,,
Ghana,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Greece,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Hungary,0,0,0,8,0,8,0,0,0,8,0,8,8,0,8,,,
Indonesia,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Ireland,0,0,0,6,0,6,0,0,0,6,0,6,6,0,6,,,
Israel,192,401,593,0,0,0,4,11,15,196,412,608,192,401,593,,,
Italy,0,0,0,4,0,4,0,0,0,4,0,4,4,0,4,,,
Japan,56,4,60,207,74,281,230,2,232,493,80,573,263,78,341,,,
Jordan,5,56,61,1,0,1,6,14,20,12,70,82,6,56,62,,,
Kenya,0,0,0,1,1,2,0,0,0,1,1,2,1,1,2,,,
Kosovo,0,0,0,0,2,2,0,0,0,0,2,2,0,2,2,,,
Kuwait,2324,754,3078,84,57,141,897,167,1064,3305,978,4283,2408,811,3219,,,
Lao PDR,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Lebanon,0,0,0,0,0,0,1,3,4,1,3,4,0,0,0,,,
LITHUANIA,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
Madagascar,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Malaysia,21797,564,22361,14,0,14,2054,55,2109,23865,619,24484,21811,564,22375,,,
Maldives,0,0,0,160,69,229,36,16,52,196,85,281,160,69,229,,,
MALI,0,0,0,2,0,2,1,0,1,3,0,3,2,0,2,,,
MALTA,0,2,2,356,162,518,19,15,34,375,179,554,356,164,520,,,
Mauritius,53,0,53,3,0,3,1,0,1,57,0,57,56,0,56,,,
Mexico,0,0,0,43,0,43,0,0,0,43,0,43,43,0,43,,,
Mongolia,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Netherland,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
New Zealand,0,0,0,4,2,6,5,0,5,9,2,11,4,2,6,,,
Nigeria,0,0,0,1,1,2,1,0,1,2,1,3,1,1,2,,,
Norway,0,0,0,5,0,5,0,0,0,5,0,5,5,0,5,,,
Oman,61,14,75,77,61,138,155,23,178,293,98,391,138,75,213,,,
Palau,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
PAPUA NEW GUINEA,0,0,0,25,2,27,4,0,4,29,2,31,25,2,27,,,
Poland,0,0,0,233,31,264,7,0,7,240,31,271,233,31,264,,,
Portugal,0,0,0,62,0,62,0,0,0,62,0,62,62,0,62,,,
Qatar,3833,528,4361,569,39,608,7301,298,7599,11703,865,12568,4402,567,4969,,,
Republic of Bulgaria,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
Republic of Congo,0,0,0,3,0,3,1,0,1,4,0,4,3,0,3,,,
Republic of Korea,0,0,0,26,1,27,5,0,5,31,1,32,26,1,27,,,
REPUBLIC OF SEYCHELLES,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Romania,413,58,471,113,33,146,37,2,39,563,93,656,526,91,617,,,
Russia,0,0,0,1,0,1,8,0,8,9,0,9,1,0,1,,,
Saudi Arabia,2699,3,2702,19,0,19,3914,70,3984,6632,73,6705,2718,3,2721,,,
Serbia,0,0,0,48,22,70,0,0,0,48,22,70,48,22,70,,,
Seychelles,0,0,0,20,6,26,10,1,11,30,7,37,20,6,26,,,
Sierra Leone,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
Singapore,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
Slovakia(Republic of Slovak),0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,,,
Slovenia,0,0,0,15,0,15,0,0,0,15,0,15,15,0,15,,,
SOMALIA,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,,,
Spain,0,0,0,1,1,2,0,0,0,1,1,2,1,1,2,,,
Sri Lanka,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,,,
Tanzania,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
Thailand,0,0,0,3,0,3,2,0,2,5,0,5,3,0,3,,,
Turkey,0,0,0,19,2,21,4,4,8,23,6,29,19,2,21,,,
Turks and Caicos Island,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,,,
UAE,1977,578,2555,756,288,1044,3595,946,4541,6328,1812,8140,2733,866,3599,,,
Uganda,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,,,
United Kingdom,14,0,14,150,58,208,0,0,0,164,58,222,164,58,222,,,
USA,0,0,0,16,3,19,4,0,4,20,3,23,16,3,19,,,
Vietnam,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,,,
ZAMBIA,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,
Grand Total,34309,3371,37680,3891,1158,5049,18597,1713,20310,56797,6242,63039,38200,4529,42729,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
